geo_unit,country,admin1,event_date,proba,predicted_class,risk_category,top_drivers,events_w7d,fatalities_w7d
Abyei,Sudan,Abyei,2026-07-11,0.03707728162407875,0,Low,"events_w30d: -1.507, events_w7d: -0.413, events_w14d: -0.386",0.0,0.0
Al Jazirah,Sudan,Al Jazirah,2026-07-25,0.19731935858726501,0,Low,"events_w30d: -0.552, events_w14d: -0.257, admin1_code: -0.231",1.0,0.0
Andaman and Nicobar Islands,India,Andaman and Nicobar Islands,2026-07-25,0.21952195465564728,0,Medium,"admin1_code: -0.629, velocity_events_w30d: -0.381, fatalities_w30d: -0.259",2.0,0.0
Andhra Pradesh,India,Andhra Pradesh,2026-07-25,0.5717852115631104,1,High,"velocity_events_w30d: +0.393, fatalities_w30d: -0.317, events_w7d: +0.226",25.0,0.0
Arunachal Pradesh,India,Arunachal Pradesh,2026-07-18,0.3600918650627136,1,Medium,"velocity_events_w30d: -0.297, fatalities_w30d: -0.287, admin1_code: -0.239",4.0,0.0
Assam,India,Assam,2026-07-25,0.33333948254585266,1,Medium,"velocity_events_w30d: -0.761, fatalities_w30d: -0.445, spillover_w14d: +0.204",30.0,0.0
Ayeyarwady,Myanmar,Ayeyarwady,2026-07-25,0.4170403778553009,1,High,"admin1_code: -0.659, events_w30d: +0.435, velocity_fatalities_w30d: +0.153",9.0,2.0
Azad Jammu and Kashmir,Pakistan,Azad Jammu and Kashmir,2026-07-25,0.580295741558075,1,High,"admin1_code: -0.822, events_w30d: +0.444, events_w7d: -0.352",0.0,0.0
Badakhshan,Afghanistan,Badakhshan,2026-07-25,0.48172682523727417,1,High,"spillover_w14d: -0.340, events_w30d: +0.333, velocity_events_w30d: -0.330",7.0,3.0
Badghis,Afghanistan,Badghis,2026-07-04,0.06357934325933456,0,Low,"events_w30d: -1.035, events_w7d: -0.411, spillover_w14d: -0.329",0.0,0.0
Baghlan,Afghanistan,Baghlan,2026-07-25,0.09282118082046509,0,Low,"events_w30d: -1.075, spillover_w14d: -0.367, events_w7d: -0.313",0.0,0.0
Bago-East,Myanmar,Bago-East,2026-07-25,0.7245404124259949,1,Critical,"velocity_events_w30d: +0.825, velocity_fatalities_w30d: +0.463, events_w7d: -0.456",0.0,0.0
Bago-West,Myanmar,Bago-West,2026-07-25,0.8792563676834106,1,Critical,"fatalities_w30d: +0.716, velocity_events_w30d: +0.522, velocity_fatalities_w30d: +0.284",8.0,16.0
Balkh,Afghanistan,Balkh,2026-07-11,0.21974313259124756,0,Medium,"spillover_w14d: -0.641, events_w30d: -0.544, admin1_code: +0.256",3.0,0.0
Balochistan,Pakistan,Balochistan,2026-07-25,0.9984239339828491,1,Critical,"fatalities_w30d: +1.756, events_w30d: +1.135, events_w7d: +0.824",73.0,100.0
Bamyan,Afghanistan,Bamyan,2026-06-20,0.23523446917533875,0,Medium,"events_w30d: -1.113, velocity_events_w30d: +0.618, spillover_w14d: -0.283",1.0,0.0
Bihar,India,Bihar,2026-07-25,0.7178710699081421,1,Critical,"events_w30d: +0.324, fatalities_w30d: -0.263, velocity_events_w30d: +0.224",16.0,0.0
