geo_unit,country,proba,predicted_class,risk_category,top_drivers,rank
Sagaing,Myanmar,0.9990043044090271,1,Critical,"fatalities_w30d: +2.495, events_w7d: +1.233, events_w30d: +0.848",1
Magway,Myanmar,0.9944019913673401,1,Critical,"fatalities_w30d: +2.085, events_w7d: +0.761, velocity_fatalities_w30d: +0.501",2
North Kordofan,Sudan,0.9931702613830566,1,Critical,"fatalities_w30d: +2.361, velocity_fatalities_w30d: +0.901, events_w30d: +0.761",3
Rakhine,Myanmar,0.9902004599571228,1,Critical,"fatalities_w30d: +1.362, velocity_fatalities_w30d: +0.470, fatalities_w14d: +0.446",4
Mandalay,Myanmar,0.9839714765548706,1,Critical,"fatalities_w30d: +1.269, velocity_fatalities_w30d: +0.925, events_w30d: +0.493",5
Tanintharyi,Myanmar,0.9260134696960449,1,Critical,"velocity_events_w30d: +0.663, fatalities_w30d: +0.440, spillover_w14d: +0.334",6
Assam,India,0.8868765830993652,1,Critical,"events_w7d: +1.350, events_w14d: +0.601, fatalities_w30d: -0.270",7
Jonglei,South Sudan,0.8335899114608765,1,Critical,"fatalities_w30d: +1.779, velocity_fatalities_w30d: -0.543, fat_std_w14d: +0.379",8
West Bengal,India,0.8311559557914734,1,Critical,"events_w7d: +0.418, events_w14d: +0.383, admin1_code: +0.330",9
Kayin,Myanmar,0.8280706405639648,1,Critical,"fatalities_w30d: +0.899, events_w7d: +0.595, events_w30d: +0.349",10
Odisha,India,0.8256440758705139,1,Critical,"events_w30d: +0.497, admin1_code: +0.354, events_w7d: +0.182",11
Jammu and Kashmir,India,0.8222602605819702,1,Critical,"velocity_events_w30d: +0.949, events_w7d: +0.294, fatalities_w30d: -0.182",12
Kachin,Myanmar,0.8084162473678589,1,Critical,"fatalities_w30d: +0.956, events_w30d: +0.387, velocity_fatalities_w7d: -0.374",13
Chin,Myanmar,0.7987185716629028,1,Critical,"velocity_events_w30d: +0.469, fatalities_w30d: +0.351, events_w7d: +0.230",14
Madhya Pradesh,India,0.7949046492576599,1,Critical,"velocity_events_w30d: +0.424, events_w7d: +0.199, events_w30d: +0.177",15
South Kordofan,Sudan,0.7943370938301086,1,Critical,"fatalities_w30d: +0.566, admin1_code: +0.482, velocity_events_w30d: +0.248",16
Lakes,South Sudan,0.7884641885757446,1,Critical,"velocity_events_w30d: +0.314, fatalities_w30d: +0.303, velocity_fatalities_w30d: +0.298",17
Bago-West,Myanmar,0.7853860855102539,1,Critical,"fatalities_w30d: +0.779, events_w30d: +0.272, events_w7d: -0.264",18
Andhra Pradesh,India,0.7762267589569092,1,Critical,"velocity_events_w30d: +0.693, velocity_events_w14d: +0.268, admin1_code: +0.251",19
Blue Nile,Sudan,0.7732246518135071,1,Critical,"fatalities_w30d: +1.310, events_w30d: +0.341, velocity_fatalities_w30d: +0.309",20
